BeerID,Name,URL,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount,UserId,IsPils
45,Samuel Adams - Boston Lager Clone,/homebrew/recipe/view/97267/samuel-adams-boston-lager-clone,81,20.82,1.05,1.013,4.93,43.66,9.89,13.25,60,1.079,70.0,,Specific Gravity,Partial Mash,1.5,10.0,DME boiled in 2 cups water,6.50 oz,20681.0,True
89,Bakke Brygg Tsjekkisk Pilsner 25 l,/homebrew/recipe/view/134325/bakke-brygg-tsjekkisk-pilsner-25-l,31,25.0,1.05,1.013,4.88,40.51,3.5,30.0,90,1.042,72.0,,Specific Gravity,All Grain,,10.0,Sukkerlake,6 g sukker/l,18325.0,True
114,Bakke Brygg Tysk Pilsner 20 l,/homebrew/recipe/view/161217/bakke-brygg-tysk-pilsner-20-l,81,20.0,1.048,1.01,4.97,36.19,2.77,25.0,90,1.038,73.0,,Specific Gravity,All Grain,,10.0,,,18325.0,True
164,#54 Amarillo Smash Pilsner,/homebrew/recipe/view/141044/-54-amarillo-smash-pilsner,81,14.38,1.056,1.014,5.53,25.8,3.32,15.14,30,1.053,35.0,,Specific Gravity,extract,0.5,18.33,,,,True
184,Asamushi Japanese Dry Pilsner,/homebrew/recipe/view/221963/asamushi-japanese-dry-pilsner,40,13.25,1.054,1.012,5.46,13.67,3.13,18.93,90,1.038,72.0,1.5,Specific Gravity,All Grain,1.5,11.11,,,,True
294,German pilsner,/homebrew/recipe/view/94148/german-pilsner,81,17.0,1.042,1.012,3.97,32.97,2.69,21.0,90,1.034,75.0,6.7,Specific Gravity,All Grain,,12.0,,,21846.0,True
332,Sam Adams Noble Pils Clone,/homebrew/recipe/view/79968/sam-adams-noble-pils-clone,40,20.82,1.048,1.011,4.94,34.33,3.37,25.74,90,1.0390000000000001,72.0,,Specific Gravity,All Grain,1.5,13.89,,,15241.0,True
348,Mosaic IPL,/homebrew/recipe/view/56751/mosaic-ipl,111,20.82,1.063,1.016,6.16,68.35,7.67,28.39,60,,78.0,,Specific Gravity,All Grain,2.0,10.0,,,15452.0,True
385,Soopa Star (Stella Artois Clone),/homebrew/recipe/view/159391/soopa-star-stella-artois-clone-,31,41.64,1.051,1.013,5.0,20.26,3.16,49.21,80,1.043,73.0,1.5,Specific Gravity,All Grain,1.5,8.89,Force Carb,12 PSI,15241.0,True
465,Bitburger Clone,/homebrew/recipe/view/168129/bitburger-clone,81,22.71,1.054,1.013,5.45,36.69,3.35,30.28,90,1.041,80.0,1.25,Specific Gravity,All Grain,,11.11,,,,True
574,Bavarian Pilsner,/homebrew/recipe/view/152349/bavarian-pilsner,81,18.93,1.101,1.025,9.97,52.85,5.21,28.39,60,1.068,80.0,1.5,Specific Gravity,All Grain,,9.44,,,,True
