OG,FG,ABV,IBU,Color,BoilTime,BoilGravity,Efficiency,SugarScale,BrewMethod,PrimaryTemp,IsPils,SizeRatio
1.05,1.013,4.93,43.66,9.89,60,1.079,70.0,Specific Gravity,Partial Mash,10.0,True,0.6364073006724303
1.05,1.013,4.88,40.51,3.5,90,1.042,72.0,Specific Gravity,All Grain,10.0,True,1.2
1.048,1.01,4.97,36.19,2.77,90,1.038,73.0,Specific Gravity,All Grain,10.0,True,1.25
1.056,1.014,5.53,25.8,3.32,30,1.053,35.0,Specific Gravity,extract,18.33,True,1.0528511821974964
1.054,1.012,5.46,13.67,3.13,90,1.038,72.0,Specific Gravity,All Grain,11.11,True,1.4286792452830188
1.042,1.012,3.97,32.97,2.69,90,1.034,75.0,Specific Gravity,All Grain,12.0,True,1.2352941176470589
1.048,1.011,4.94,34.33,3.37,90,1.039,72.0,Specific Gravity,All Grain,13.89,True,1.2363112391930835
1.063,1.016,6.16,68.35,7.67,60,,78.0,Specific Gravity,All Grain,10.0,True,1.3635926993275695
1.051,1.013,5.0,20.26,3.16,80,1.043,73.0,Specific Gravity,All Grain,8.89,True,1.1817963496637849
1.054,1.013,5.45,36.69,3.35,90,1.041,80.0,Specific Gravity,All Grain,11.11,True,1.3333333333333333
1.101,1.025,9.97,52.85,5.21,60,1.068,80.0,Specific Gravity,All Grain,9.44,True,1.4997358689910196
1.05,1.012,5.07,40.22,3.37,60,,75.0,Specific Gravity,All Grain,12.78,True,1.2728146013448607
1.054,1.011,5.64,38.89,5.48,90,1.043,75.0,Specific Gravity,All Grain,11.0,True,1.25
1.048,1.011,4.85,38.44,2.77,90,1.04,73.0,Specific Gravity,All Grain,10.0,True,1.2
1.105,1.024,10.67,49.4,25.37,90,,75.0,Specific Gravity,All Grain,27.78,True,1.3635926993275695
1.052,1.015,4.92,44.69,4.24,90,1.033,60.0,Specific Gravity,All Grain,12.78,True,1.5995773903856314
1.051,1.012,5.21,35.56,3.31,60,1.041,75.0,Specific Gravity,All Grain,11.11,True,1.2385505787619526
1.034,1.007,3.62,17.8,2.33,15,1.033,70.0,Specific Gravity,All Grain,15.56,True,1.0371819960861057
1.0490000000000002,1.008,5.32,39.31,5.73,60,1.041,68.0,Specific Gravity,All Grain,9.0,True,1.1914893617021276
1.05,1.01,5.22,36.59,5.39,60,1.043,75.0,Specific Gravity,Partial Mash,14.0,True,1.15
